"","Participant","CategoryStructure","Manipulation","Trials","System","NegativeZ"
"451",226,"RB","task",100,"Procedural",1
"452",226,"II","task",57,"Explicit",NA
"453",227,"RB","control",18,"Explicit",NA
"454",227,"II","control",NA,NA,1
"455",228,"RB","task",8,"Explicit",NA
"456",228,"II","task",38,"Explicit",NA
"457",229,"RB","control",15,"Explicit",NA
"458",229,"II","control",19,"Explicit",NA
"459",230,"RB","task",8,"Explicit",NA
"460",230,"II","task",67,"Explicit",NA
"461",231,"RB","control",13,"Explicit",NA
"462",231,"II","control",18,"Explicit",NA
"463",232,"RB","task",108,"Explicit",1
"464",232,"II","task",157,"Explicit",1
"465",233,"RB","control",8,"Explicit",NA
"466",233,"II","control",28,"Explicit",NA
"467",234,"RB","task",8,"Explicit",NA
"468",234,"II","task",52,"Explicit",NA
"469",235,"RB","control",28,"Explicit",NA
"470",235,"II","control",36,"Explicit",NA
"471",236,"RB","task",NA,NA,1
"472",236,"II","task",181,"Explicit",1
"473",237,"RB","control",8,"Explicit",NA
"474",237,"II","control",37,"Explicit",NA
"475",238,"RB","task",65,"Explicit",1
"476",238,"II","task",67,"Explicit",NA
"477",239,"RB","control",32,"Explicit",NA
"478",239,"II","control",27,"Explicit",NA
"479",240,"RB","task",17,"Explicit",NA
"480",240,"II","task",33,"Explicit",NA
"481",241,"RB","control",10,"Explicit",NA
"482",241,"II","control",NA,NA,1
"483",242,"RB","task",93,"Explicit",1
"484",242,"II","task",167,"Explicit",1
"485",243,"RB","control",26,"Explicit",NA
"486",243,"II","control",36,"Explicit",NA
"487",244,"RB","task",95,"Explicit",1
"488",244,"II","task",NA,NA,1
"489",245,"RB","control",19,"Explicit",NA
"490",245,"II","control",130,"Explicit",1
"491",246,"RB","task",8,"Explicit",NA
"492",246,"II","task",11,"Explicit",NA
"493",247,"RB","control",15,"Explicit",NA
"494",247,"II","control",70,"Explicit",NA
"495",248,"RB","task",20,"Explicit",NA
"496",248,"II","task",34,"Explicit",NA
"497",249,"RB","control",10,"Explicit",NA
"498",249,"II","control",119,"Procedural",1
"499",250,"RB","task",58,"Explicit",1
"500",250,"II","task",16,"Explicit",NA
"501",251,"RB","control",12,"Explicit",NA
"502",251,"II","control",80,"Explicit",NA
"503",252,"RB","task",160,"Explicit",1
"504",252,"II","task",11,"Explicit",NA
"505",253,"RB","control",28,"Explicit",NA
"506",253,"II","control",67,"Explicit",NA
"507",254,"RB","task",8,"Explicit",NA
"508",254,"II","task",20,"Explicit",NA
"509",255,"RB","control",8,"Explicit",NA
"510",255,"II","control",67,"Explicit",NA
"511",256,"RB","task",30,"Explicit",NA
"512",256,"II","task",32,"Explicit",NA
"513",257,"RB","control",13,"Explicit",NA
"514",257,"II","control",8,"Explicit",NA
"515",258,"RB","task",45,"Explicit",1
"516",258,"II","task",15,"Explicit",NA
"517",259,"RB","control",8,"Explicit",NA
"518",259,"II","control",75,"Explicit",NA
"519",260,"RB","task",8,"Explicit",NA
"520",260,"II","task",16,"Explicit",NA
"521",261,"RB","control",10,"Explicit",NA
"522",261,"II","control",176,"Explicit",NA
"523",262,"RB","task",58,"Explicit",NA
"524",262,"II","task",31,"Explicit",NA
"525",263,"RB","control",21,"Explicit",NA
"526",263,"II","control",88,"Explicit",NA
"527",264,"RB","task",78,"Explicit",1
"528",264,"II","task",48,"Explicit",NA
"529",265,"RB","control",13,"Explicit",NA
"530",265,"II","control",67,"Explicit",NA
"531",266,"RB","task",79,"Explicit",1
"532",266,"II","task",34,"Explicit",NA
"533",267,"RB","control",37,"Explicit",NA
"534",267,"II","control",159,"Procedural",NA
"535",268,"RB","task",188,"Explicit",1
"536",268,"II","task",117,"Explicit",1
"537",269,"RB","control",8,"Explicit",NA
"538",269,"II","control",23,"Explicit",NA
"539",270,"RB","task",56,"Explicit",1
"540",270,"II","task",NA,NA,1
"541",271,"RB","control",31,"Explicit",NA
"542",271,"II","control",44,"Explicit",NA
"543",272,"RB","task",8,"Explicit",NA
"544",272,"II","task",170,"Explicit",1
"545",273,"RB","control",32,"Explicit",NA
"546",273,"II","control",8,"Explicit",NA
"547",274,"RB","task",8,"Explicit",NA
"548",274,"II","task",35,"Explicit",NA
"549",275,"RB","control",8,"Explicit",NA
"550",275,"II","control",18,"Explicit",NA
"551",276,"RB","task",NA,NA,1
"552",276,"II","task",94,"Explicit",1
"553",277,"RB","control",12,"Explicit",NA
"554",277,"II","control",82,"Explicit",NA
"555",278,"RB","task",8,"Explicit",NA
"556",278,"II","task",97,"Explicit",1
